"#""+ESI Scan (scans: #13-17"," 5 scans) Frag=200.0V 154-254 GFPuv oMeY run002.d  Subtract Deconvoluted (Isotope Width=0.0)""",,
#Point,X(Daltons),Y(Counts),
318,23318,793.2438354,
319,23319,758.2642212,
320,23320,744.741333,
321,23321,751.1852417,
322,23322,766.3864746,
323,23323,784.5280762,
324,23324,816.3388672,
325,23325,856.4255981,
326,23326,889.0807495,
327,23327,906.2459717,
328,23328,894.6463623,
329,23329,846.7093506,
330,23330,764.6872559,
331,23331,663.0934448,
332,23332,571.046814,
333,23333,496.6197205,
334,23334,434.3748474,
335,23335,396.1152344,
336,23336,390.1140442,
337,23337,407.5259094,
338,23338,434.1231689,
339,23339,458.4082336,
340,23340,477.2979736,
341,23341,486.6786804,
342,23342,476.3734741,
343,23343,452.7548828,
344,23344,443.9733887,
345,23345,465.4482117,
346,23346,492.3902893,
347,23347,494.5578613,
348,23348,479.1228027,
349,23349,457.6730957,
350,23350,424.5664978,
351,23351,386.8280334,
352,23352,356.0175171,
353,23353,331.3076782,
354,23354,317.63974,
355,23355,323.1713867,
356,23356,336.7562866,
357,23357,343.4333496,
358,23358,356.463501,
359,23359,399.9682007,
360,23360,461.3329468,
361,23361,500.3615723,
362,23362,503.8474426,
363,23363,485.3009949,
364,23364,448.449707,
365,23365,398.3870239,
366,23366,361.4775391,
367,23367,353.5892944,
368,23368,356.0857544,
369,23369,344.8247986,
370,23370,322.9746704,
371,23371,317.5601807,
372,23372,349.6713257,
373,23373,411.4671631,
374,23374,461.4437561,
375,23375,452.3098145,
376,23376,385.6154175,
377,23377,308.6569214,
378,23378,253.1608887,
379,23379,220.7915039,
380,23380,210.9654541,
381,23381,220.8861542,
382,23382,238.7868347,
383,23383,261.8432922,
384,23384,295.8508301,
385,23385,335.8151855,
386,23386,371.2713623,
387,23387,390.1875916,
388,23388,381.2622986,
389,23389,360.1799622,
390,23390,362.9910278,
391,23391,412.7398376,
392,23392,537.5800781,
393,23393,793.6202393,
394,23394,1190.272217,
395,23395,1600.186646,
396,23396,1823.541748,
397,23397,1767.271973,
398,23398,1529.592407,
399,23399,1280.652222,
400,23400,1107.273438,
401,23401,1016.246155,
402,23402,998.1170044,
403,23403,1027.015015,
404,23404,1059.942261,
405,23405,1077.595337,
406,23406,1104.74939,
407,23407,1163.1875,
408,23408,1239.379761,
409,23409,1320.549927,
410,23410,1428.001343,
411,23411,1589.521484,
412,23412,1746.084229,
413,23413,1784.874146,
414,23414,1721.150513,
415,23415,1668.075806,
416,23416,1649.37439,
417,23417,1629.577393,
418,23418,1619.683716,
419,23419,1638.098267,
420,23420,1703.845703,
421,23421,1902.400757,
422,23422,2322.831787,
423,23423,2808.324707,
424,23424,3002.217529,
425,23425,2855.695068,
426,23426,2654.078613,
427,23427,2515.140381,
428,23428,2346.915039,
429,23429,2093.558105,
430,23430,1766.206421,
431,23431,1400.63501,
432,23432,1036.191284,
433,23433,737.6833496,
434,23434,575.0335083,
435,23435,531.0282593,
436,23436,523.0726929,
437,23437,509.7975769,
438,23438,505.0389099,
439,23439,523.9144897,
440,23440,570.3126221,
441,23441,646.9315796,
442,23442,738.8258057,
443,23443,817.1124878,
444,23444,881.7387085,
445,23445,939.7645264,
446,23446,957.3477173,
447,23447,915.1273804,
448,23448,847.8879395,
449,23449,788.2804565,
450,23450,738.3461914,
451,23451,690.59552,
452,23452,637.006958,
453,23453,583.4650269,
454,23454,552.3275757,
455,23455,543.8452759,
456,23456,544.5115356,
457,23457,558.1866455,
458,23458,572.7143555,
459,23459,551.1904297,
460,23460,494.2758179,
461,23461,452.2647095,
462,23462,454.473877,
463,23463,486.3778687,
464,23464,533.2648926,
465,23465,588.3411865,
466,23466,647.3707275,
467,23467,736.1636963,
468,23468,883.1251831,
469,23469,1063.277466,
470,23470,1233.352783,
471,23471,1364.650879,
472,23472,1431.751953,
473,23473,1416.74231,
474,23474,1306.322876,
475,23475,1148.413818,
476,23476,1051.984985,
477,23477,1026.557739,
478,23478,993.6989746,
479,23479,963.6008301,
480,23480,1011.864868,
481,23481,1138.069092,
482,23482,1267.293457,
483,23483,1386.049438,
484,23484,1559.346069,
485,23485,1776.215576,
486,23486,1969.863647,
487,23487,2142.7771,
488,23488,2274.37793,
489,23489,2302.183594,
490,23490,2237.175537,
491,23491,2080.109863,
492,23492,1793.908569,
493,23493,1434.260742,
494,23494,1118.437378,
495,23495,910.104126,
496,23496,783.416748,
497,23497,676.612854,
498,23498,588.0584106,
499,23499,563.6494751,
500,23500,616.7502441,
501,23501,736.1353149,
502,23502,891.2132568,
503,23503,1000.731812,
504,23504,1016.961304,
505,23505,993.7697144,
506,23506,996.2283325,
507,23507,1030.655884,
508,23508,1070.89502,
509,23509,1095.686035,
510,23510,1089.537598,
511,23511,1047.729492,
512,23512,1010.00708,
513,23513,1032.979248,
514,23514,1116.413574,
515,23515,1205.666138,
516,23516,1236.287598,
517,23517,1166.153809,
518,23518,1015.767517,
519,23519,835.5742188,
520,23520,658.8011475,
521,23521,528.0760498,
522,23522,472.0441895,
523,23523,471.4026184,
524,23524,498.2316284,
525,23525,535.4134521,
526,23526,573.697876,
527,23527,634.7180786,
528,23528,754.4157715,
529,23529,940.9464722,
530,23530,1190.986084,
531,23531,1478.511597,
532,23532,1686.588257,
533,23533,1690.936401,
534,23534,1536.030518,
535,23535,1395.581055,
536,23536,1387.411621,
537,23537,1482.437378,
538,23538,1579.027832,
539,23539,1630.282715,
540,23540,1664.940796,
541,23541,1730.974487,
542,23542,1818.07251,
543,23543,1912.040161,
544,23544,2133.668701,
545,23545,2587.939453,
546,23546,3147.348633,
547,23547,3601.304932,
548,23548,3860.614502,
549,23549,3929.29834,
550,23550,3862.673828,
551,23551,3701.778809,
552,23552,3424.449219,
553,23553,3061.617676,
554,23554,2685.16748,
555,23555,2302.848633,
556,23556,1906.082397,
557,23557,1523.682983,
558,23558,1214.675415,
559,23559,1019.977356,
560,23560,915.6757202,
561,23561,861.7165527,
562,23562,857.2589111,
563,23563,918.6577148,
564,23564,1051.397827,
565,23565,1229.557861,
566,23566,1428.621826,
567,23567,1696.630615,
568,23568,2061.289795,
569,23569,2398.447021,
570,23570,2538.060547,
571,23571,2440.145508,
572,23572,2186.445068,
573,23573,1866.718262,
574,23574,1536.347046,
575,23575,1261.376587,
576,23576,1125.631592,
577,23577,1150.157349,
578,23578,1283.669922,
579,23579,1453.514526,
580,23580,1560.0896,
581,23581,1556.130127,
582,23582,1509.828247,
583,23583,1453.525146,
584,23584,1330.386108,
585,23585,1162.710083,
586,23586,1075.083496,
587,23587,1120.107422,
588,23588,1216.112549,
589,23589,1304.375977,
590,23590,1468.194092,
591,23591,1780.498779,
592,23592,2121.17749,
593,23593,2272.733887,
594,23594,2145.47876,
595,23595,1843.530151,
596,23596,1550.493774,
597,23597,1384.27478,
598,23598,1342.807495,
599,23599,1364.468506,
600,23600,1395.37207,
601,23601,1391.111938,
602,23602,1320.307251,
603,23603,1189.138184,
604,23604,1031.853149,
605,23605,890.1115723,
606,23606,797.3713379,
607,23607,745.6558228,
608,23608,703.1173096,
609,23609,668.6499634,
610,23610,661.5015869,
611,23611,680.3150635,
612,23612,693.0032349,
613,23613,687.5275269,
614,23614,701.5393066,
615,23615,738.9974976,
616,23616,763.5482788,
617,23617,779.0723267,
618,23618,790.1925049,
619,23619,767.5100098,
620,23620,705.703064,
621,23621,630.0862427,
622,23622,563.9067993,
623,23623,524.1465454,
624,23624,528.9926758,
625,23625,603.8616943,
626,23626,750.4358521,
627,23627,919.937439,
628,23628,1053.206909,
629,23629,1104.876709,
630,23630,1044.448364,
631,23631,885.9615479,
632,23632,701.5862427,
633,23633,583.3264771,
634,23634,566.0429688,
635,23635,599.9160156,
636,23636,626.6098022,
637,23637,650.2070923,
638,23638,713.7860107,
639,23639,842.8258667,
640,23640,993.6508179,
641,23641,1072.393433,
642,23642,1077.261475,
643,23643,1126.190918,
644,23644,1270.153442,
645,23645,1432.025635,
646,23646,1570.865723,
647,23647,1698.46582,
648,23648,1769.861328,
649,23649,1776.806519,
650,23650,1796.507935,
651,23651,1871.592407,
652,23652,2001.651001,
653,23653,2138.372559,
654,23654,2161.064209,
655,23655,2021.983643,
656,23656,1826.992554,
657,23657,1694.133789,
658,23658,1618.586182,
659,23659,1512.417969,
660,23660,1372.900024,
661,23661,1300.275146,
662,23662,1350.785889,
663,23663,1500.193359,
664,23664,1649.467651,
665,23665,1665.352661,
666,23666,1540.813599,
667,23667,1395.851929,
668,23668,1307.991333,
669,23669,1285.963623,
670,23670,1334.248657,
671,23671,1418.838379,
672,23672,1464.944214,
673,23673,1447.367676,
674,23674,1380.702759,
675,23675,1294.27063,
676,23676,1263.694458,
677,23677,1337.616333,
678,23678,1463.299927,
679,23679,1546.128418,
680,23680,1551.639282,
681,23681,1526.331665,
682,23682,1518.611328,
683,23683,1494.621704,
684,23684,1382.023804,
685,23685,1208.296997,
686,23686,1090.329712,
687,23687,1092.020752,
688,23688,1172.601929,
689,23689,1252.667603,
690,23690,1287.80481,
691,23691,1265.57605,
692,23692,1187.802368,
693,23693,1087.694092,
694,23694,1015.094788,
695,23695,997.7341309,
696,23696,1031.059082,
697,23697,1079.425537,
698,23698,1097.472412,
699,23699,1072.64624,
700,23700,1022.353027,
701,23701,953.6499634,
702,23702,866.5285034,
703,23703,796.9259644,
704,23704,808.3914795,
705,23705,954.5658569,
706,23706,1235.710693,
707,23707,1506.172607,
708,23708,1572.65332,
709,23709,1463.68811,
710,23710,1372.241577,
711,23711,1371.522217,
712,23712,1374.310669,
713,23713,1309.52124,
714,23714,1200.968628,
715,23715,1084.082153,
716,23716,973.6071167,
717,23717,878.515686,
718,23718,788.2980957,
719,23719,704.576416,
720,23720,663.9865723,
721,23721,696.2752075,
722,23722,787.6691895,
723,23723,895.5874023,
724,23724,1007.569702,
725,23725,1139.352539,
726,23726,1255.002686,
727,23727,1300.90918,
728,23728,1288.097778,
729,23729,1263.085083,
730,23730,1248.864624,
731,23731,1196.299927,
732,23732,1054.156372,
733,23733,883.9302368,
734,23734,771.019165,
735,23735,714.8761597,
736,23736,672.6322021,
737,23737,622.4262085,
738,23738,577.647644,
739,23739,576.8356934,
740,23740,661.2940063,
741,23741,829.2660522,
742,23742,994.7290039,
743,23743,1036.393921,
744,23744,935.0098877,
745,23745,798.0290527,
746,23746,714.4837646,
747,23747,705.9550171,
748,23748,798.9349976,
749,23749,995.8947754,
750,23750,1200.514893,
751,23751,1276.301636,
752,23752,1214.363892,
753,23753,1189.343262,
754,23754,1356.29126,
755,23755,1645.733521,
756,23756,1915.515991,
757,23757,2164.242188,
758,23758,2416.06958,
759,23759,2660.467529,
760,23760,2928.756836,
761,23761,3163.969727,
762,23762,3161.19873,
763,23763,2826.835938,
764,23764,2357.99585,
765,23765,1999.056763,
766,23766,1754.790405,
767,23767,1508.931885,
768,23768,1266.537354,
769,23769,1135.815918,
770,23770,1170.94873,
771,23771,1327.521484,
772,23772,1538.288818,
773,23773,1764.97937,
774,23774,1969.702026,
775,23775,2091.041992,
776,23776,2088.275635,
777,23777,1983.942383,
778,23778,1814.720703,
779,23779,1568.723511,
780,23780,1250.046753,
781,23781,956.2052002,
782,23782,792.765625,
783,23783,788.0693359,
784,23784,915.3872681,
785,23785,1078.590576,
786,23786,1146.534424,
787,23787,1085.10437,
788,23788,969.9984131,
789,23789,877.4207153,
790,23790,821.1870728,
791,23791,785.87854,
792,23792,770.5869751,
793,23793,781.8137207,
794,23794,808.9309692,
795,23795,812.9608765,
796,23796,773.7163696,
797,23797,734.0359497,
798,23798,743.2874756,
799,23799,816.390686,
800,23800,985.3023682,
801,23801,1287.556519,
802,23802,1649.872559,
803,23803,1875.548828,
804,23804,1831.116211,
805,23805,1585.510254,
806,23806,1288.013306,
807,23807,1032.234497,
808,23808,893.27771,
809,23809,923.1983032,
810,23810,1092.555664,
811,23811,1327.183594,
812,23812,1568.982666,
813,23813,1753.496582,
814,23814,1794.160156,
815,23815,1676.01123,
816,23816,1495.98877,
817,23817,1371.396484,
818,23818,1334.119507,
819,23819,1286.045288,
820,23820,1137.763794,
821,23821,958.8483887,
822,23822,863.7668457,
823,23823,870.5917969,
824,23824,938.9338379,
825,23825,1037.432373,
826,23826,1133.350586,
827,23827,1195.336426,
828,23828,1252.73999,
829,23829,1338.520874,
830,23830,1397.422485,
831,23831,1363.180786,
832,23832,1243.643677,
833,23833,1099.331665,
834,23834,987.0004883,
835,23835,917.699646,
836,23836,874.4842529,
837,23837,857.5487671,
838,23838,872.6318359,
839,23839,891.0137329,
840,23840,876.2670898,
841,23841,827.3771973,
842,23842,762.9872437,
843,23843,693.2477417,
844,23844,620.0115967,
845,23845,570.5708008,
846,23846,600.3597412,
847,23847,736.277771,
848,23848,974.2990723,
849,23849,1297.532471,
850,23850,1622.580444,
851,23851,1827.268311,
852,23852,1902.831299,
853,23853,1969.987915,
854,23854,2067.087891,
855,23855,2090.683105,
856,23856,1998.973633,
857,23857,1850.351807,
858,23858,1699.196289,
859,23859,1555.494141,
860,23860,1384.259277,
861,23861,1197.320801,
862,23862,1073.448608,
863,23863,1037.415039,
864,23864,1043.503296,
865,23865,1081.123779,
866,23866,1180.267334,
867,23867,1310.875977,
868,23868,1388.949463,
869,23869,1365.606689,
870,23870,1278.046265,
871,23871,1211.637085,
872,23872,1187.238892,
873,23873,1179.810913,
874,23874,1206.703491,
875,23875,1314.638916,
876,23876,1536.784424,
877,23877,1837.026733,
878,23878,2097.727783,
879,23879,2164.889648,
880,23880,1954.095581,
881,23881,1567.900757,
882,23882,1206.0271,
883,23883,998.2877197,
884,23884,958.8047485,
885,23885,1003.903809,
886,23886,1049.253296,
887,23887,1108.48645,
888,23888,1219.095703,
889,23889,1339.257202,
890,23890,1416.452271,
891,23891,1440.078369,
892,23892,1409.798218,
893,23893,1359.268555,
894,23894,1323.800537,
895,23895,1290.967651,
896,23896,1261.466064,
897,23897,1260.076904,
898,23898,1265.164673,
899,23899,1222.147461,
900,23900,1131.414551,
901,23901,1043.108398,
902,23902,988.1401367,
903,23903,974.2374878,
904,23904,983.8161011,
905,23905,984.5714111,
906,23906,992.9000244,
907,23907,1068.934937,
908,23908,1264.484619,
909,23909,1548.160767,
910,23910,1754.174438,
911,23911,1777.16333,
912,23912,1719.75647,
913,23913,1676.520508,
914,23914,1608.622681,
915,23915,1496.912231,
916,23916,1393.199585,
917,23917,1323.028931,
918,23918,1283.125366,
919,23919,1280.557983,
920,23920,1312.47998,
921,23921,1377.355957,
922,23922,1488.898315,
923,23923,1622.712402,
924,23924,1685.620728,
925,23925,1612.859863,
926,23926,1467.068481,
927,23927,1389.880859,
928,23928,1472.549561,
929,23929,1653.511841,
930,23930,1799.137939,
931,23931,1884.285034,
932,23932,1956.942383,
933,23933,2016.379272,
934,23934,2046.320435,
935,23935,2076.723389,
936,23936,2165.435059,
937,23937,2396.610352,
938,23938,2853.672852,
939,23939,3420.174316,
940,23940,3766.547119,
941,23941,3675.627686,
942,23942,3159.028809,
943,23943,2370.935791,
944,23944,1580.298584,
945,23945,1028.431152,
946,23946,767.2174683,
947,23947,700.4028931,
948,23948,745.3674316,
949,23949,903.9325562,
950,23950,1182.080811,
951,23951,1500.223633,
952,23952,1720.779907,
953,23953,1764.179077,
954,23954,1658.295288,
955,23955,1493.777588,
956,23956,1382.831909,
957,23957,1411.09729,
958,23958,1568.829346,
959,23959,1742.729614,
960,23960,1805.330444,
961,23961,1703.777588,
962,23962,1478.694824,
963,23963,1229.856812,
964,23964,1035.227905,
965,23965,911.3969116,
966,23966,853.6010742,
967,23967,847.1769409,
968,23968,859.3881836,
969,23969,863.475769,
970,23970,839.2175903,
971,23971,786.1713257,
972,23972,754.0474243,
973,23973,790.4155884,
974,23974,877.7163696,
975,23975,948.6199951,
976,23976,944.9222412,
977,23977,868.517395,
978,23978,756.9260254,
979,23979,626.8637085,
980,23980,491.9765625,
981,23981,386.6345825,
982,23982,331.0920105,
983,23983,321.5437622,
984,23984,348.4512939,
985,23985,392.0680847,
986,23986,432.1374817,
987,23987,467.4463501,
988,23988,497.89505,
989,23989,515.9344482,
990,23990,525.4595337,
991,23991,539.0061035,
992,23992,561.4493408,
993,23993,581.8342285,
994,23994,585.1698608,
995,23995,572.461792,
996,23996,560.2637329,
997,23997,576.4612427,
998,23998,654.2700806,
999,23999,797.5929565,
1000,24000,955.7171631,
1001,24001,1087.432251,
1002,24002,1218.263062,
1003,24003,1366.544434,
1004,24004,1480.630737,
1005,24005,1489.862061,
1006,24006,1400.84436,
1007,24007,1308.036621,
1008,24008,1291.988525,
1009,24009,1378.032471,
1010,24010,1540.48999,
1011,24011,1686.420288,
1012,24012,1741.263428,
1013,24013,1720.932007,
1014,24014,1664.618408,
1015,24015,1609.81189,
1016,24016,1579.074585,
1017,24017,1534.870728,
1018,24018,1451.560181,
1019,24019,1360.762939,
1020,24020,1259.495361,
1021,24021,1108.537598,
1022,24022,948.6849365,
1023,24023,870.9343872,
1024,24024,888.5494995,
1025,24025,950.0483398,
1026,24026,1005.665161,
1027,24027,1032.98877,
1028,24028,1059.963013,
1029,24029,1130.154785,
1030,24030,1219.150879,
1031,24031,1230.216187,
1032,24032,1136.735474,
1033,24033,1053.799194,
1034,24034,1089.656006,
1035,24035,1231.835205,
1036,24036,1385.263794,
1037,24037,1464.583618,
1038,24038,1480.757446,
1039,24039,1508.84668,
1040,24040,1574.813721,
1041,24041,1666.790649,
1042,24042,1795.271851,
1043,24043,1954.671143,
1044,24044,2112.933594,
1045,24045,2255.610107,
1046,24046,2391.062012,
1047,24047,2573.034424,
1048,24048,2935.247803,
1049,24049,3500.13916,
1050,24050,3960.002441,
1051,24051,4002.330811,
1052,24052,3684.121582,
1053,24053,3213.511475,
1054,24054,2731.975098,
1055,24055,2355.469971,
1056,24056,2135.911865,
1057,24057,2037.309814,
1058,24058,2032.430176,
1059,24059,2151.36377,
1060,24060,2361.324707,
1061,24061,2527.477783,
1062,24062,2607.175537,
1063,24063,2658.580322,
1064,24064,2674.872803,
1065,24065,2658.110596,
1066,24066,2673.31958,
1067,24067,2707.537354,
1068,24068,2689.666504,
1069,24069,2632.963379,
1070,24070,2601.273193,
1071,24071,2608.14502,
1072,24072,2614.38916,
1073,24073,2569.408203,
1074,24074,2528.063477,
1075,24075,2649.354248,
1076,24076,2931.918945,
1077,24077,3133.263428,
1078,24078,3026.765625,
1079,24079,2632.691162,
1080,24080,2147.279297,
1081,24081,1701.734863,
1082,24082,1330.567749,
1083,24083,1075.248047,
1084,24084,978.3581543,
1085,24085,1013.252869,
1086,24086,1070.605225,
1087,24087,1067.478027,
1088,24088,1029.521851,
1089,24089,1027.740356,
1090,24090,1118.167847,
1091,24091,1344.491211,
1092,24092,1683.992798,
1093,24093,1965.704834,
1094,24094,1989.114136,
1095,24095,1760.846191,
1096,24096,1465.691895,
1097,24097,1254.49939,
1098,24098,1167.380859,
1099,24099,1165.63623,
1100,24100,1185.974609,
1101,24101,1198.82312,
1102,24102,1222.826538,
1103,24103,1280.937988,
1104,24104,1364.471436,
1105,24105,1460.733765,
1106,24106,1544.629395,
1107,24107,1558.467773,
1108,24108,1500.815308,
1109,24109,1461.459717,
1110,24110,1517.966064,
1111,24111,1683.797241,
1112,24112,1945.484863,
1113,24113,2282.184814,
1114,24114,2649.614258,
1115,24115,2924.524658,
1116,24116,2964.266113,
1117,24117,2800.330811,
1118,24118,2616.026855,
1119,24119,2530.303223,
1120,24120,2457.171387,
1121,24121,2217.26123,
1122,24122,1823.276489,
1123,24123,1447.716309,
1124,24124,1161.816895,
1125,24125,942.0961304,
1126,24126,783.5518799,
1127,24127,689.9428711,
1128,24128,674.6535034,
1129,24129,771.6986084,
1130,24130,979.9958496,
1131,24131,1225.355103,
1132,24132,1398.070923,
1133,24133,1423.032471,
1134,24134,1318.751953,
